title,description,url,remote_testing_support,adaptive_irt_support,duration_minutes,test_type
Assessment 61,"This is a simulated description for Assessment 61, designed to evaluate various competencies.",https://www.shl.com/assessment-61,No,Yes,45,Behavioral
Assessment 62,"This is a simulated description for Assessment 62, designed to evaluate various competencies.",https://www.shl.com/assessment-62,Yes,No,35,Technical
Assessment 63,"This is a simulated description for Assessment 63, designed to evaluate various competencies.",https://www.shl.com/assessment-63,No,No,15,Technical
Assessment 64,"This is a simulated description for Assessment 64, designed to evaluate various competencies.",https://www.shl.com/assessment-64,No,No,20,Personality
Assessment 65,"This is a simulated description for Assessment 65, designed to evaluate various competencies.",https://www.shl.com/assessment-65,No,No,80,Cognitive
Assessment 66,"This is a simulated description for Assessment 66, designed to evaluate various competencies.",https://www.shl.com/assessment-66,Yes,Yes,35,Behavioral
Assessment 67,"This is a simulated description for Assessment 67, designed to evaluate various competencies.",https://www.shl.com/assessment-67,Yes,No,75,Situational Judgment
Assessment 68,"This is a simulated description for Assessment 68, designed to evaluate various competencies.",https://www.shl.com/assessment-68,Yes,No,90,Cognitive
Assessment 69,"This is a simulated description for Assessment 69, designed to evaluate various competencies.",https://www.shl.com/assessment-69,No,Yes,45,Situational Judgment
Assessment 70,"This is a simulated description for Assessment 70, designed to evaluate various competencies.",https://www.shl.com/assessment-70,No,Yes,55,Situational Judgment
Assessment 71,"This is a simulated description for Assessment 71, designed to evaluate various competencies.",https://www.shl.com/assessment-71,Yes,No,65,Behavioral
Assessment 72,"This is a simulated description for Assessment 72, designed to evaluate various competencies.",https://www.shl.com/assessment-72,No,No,20,Skills
Assessment 73,"This is a simulated description for Assessment 73, designed to evaluate various competencies.",https://www.shl.com/assessment-73,No,Yes,55,Technical
Assessment 74,"This is a simulated description for Assessment 74, designed to evaluate various competencies.",https://www.shl.com/assessment-74,No,Yes,75,Technical
Assessment 75,"This is a simulated description for Assessment 75, designed to evaluate various competencies.",https://www.shl.com/assessment-75,No,Yes,35,Skills
Assessment 76,"This is a simulated description for Assessment 76, designed to evaluate various competencies.",https://www.shl.com/assessment-76,Yes,No,15,Situational Judgment
Assessment 77,"This is a simulated description for Assessment 77, designed to evaluate various competencies.",https://www.shl.com/assessment-77,No,No,75,Cognitive
Assessment 78,"This is a simulated description for Assessment 78, designed to evaluate various competencies.",https://www.shl.com/assessment-78,Yes,No,40,Skills
Assessment 79,"This is a simulated description for Assessment 79, designed to evaluate various competencies.",https://www.shl.com/assessment-79,No,Yes,70,Personality
Assessment 80,"This is a simulated description for Assessment 80, designed to evaluate various competencies.",https://www.shl.com/assessment-80,No,Yes,20,Behavioral
Assessment 81,"This is a simulated description for Assessment 81, designed to evaluate various competencies.",https://www.shl.com/assessment-81,No,Yes,25,Technical
Assessment 82,"This is a simulated description for Assessment 82, designed to evaluate various competencies.",https://www.shl.com/assessment-82,Yes,No,90,Behavioral
Assessment 83,"This is a simulated description for Assessment 83, designed to evaluate various competencies.",https://www.shl.com/assessment-83,No,Yes,35,Cognitive
Assessment 84,"This is a simulated description for Assessment 84, designed to evaluate various competencies.",https://www.shl.com/assessment-84,No,No,10,Situational Judgment
Assessment 85,"This is a simulated description for Assessment 85, designed to evaluate various competencies.",https://www.shl.com/assessment-85,Yes,No,35,Skills
Assessment 86,"This is a simulated description for Assessment 86, designed to evaluate various competencies.",https://www.shl.com/assessment-86,Yes,Yes,25,Skills
Assessment 87,"This is a simulated description for Assessment 87, designed to evaluate various competencies.",https://www.shl.com/assessment-87,Yes,Yes,60,Cognitive
Assessment 88,"This is a simulated description for Assessment 88, designed to evaluate various competencies.",https://www.shl.com/assessment-88,No,No,25,Cognitive
Assessment 89,"This is a simulated description for Assessment 89, designed to evaluate various competencies.",https://www.shl.com/assessment-89,No,No,30,Situational Judgment
Assessment 90,"This is a simulated description for Assessment 90, designed to evaluate various competencies.",https://www.shl.com/assessment-90,Yes,Yes,30,Situational Judgment
Assessment 91,"This is a simulated description for Assessment 91, designed to evaluate various competencies.",https://www.shl.com/assessment-91,No,Yes,20,Situational Judgment
Assessment 92,"This is a simulated description for Assessment 92, designed to evaluate various competencies.",https://www.shl.com/assessment-92,No,Yes,15,Situational Judgment
Assessment 93,"This is a simulated description for Assessment 93, designed to evaluate various competencies.",https://www.shl.com/assessment-93,Yes,Yes,85,Situational Judgment
Assessment 94,"This is a simulated description for Assessment 94, designed to evaluate various competencies.",https://www.shl.com/assessment-94,Yes,Yes,55,Personality
Assessment 95,"This is a simulated description for Assessment 95, designed to evaluate various competencies.",https://www.shl.com/assessment-95,Yes,Yes,60,Situational Judgment
Assessment 96,"This is a simulated description for Assessment 96, designed to evaluate various competencies.",https://www.shl.com/assessment-96,No,No,35,Technical
Assessment 97,"This is a simulated description for Assessment 97, designed to evaluate various competencies.",https://www.shl.com/assessment-97,No,Yes,35,Personality
Assessment 98,"This is a simulated description for Assessment 98, designed to evaluate various competencies.",https://www.shl.com/assessment-98,Yes,No,30,Situational Judgment
Assessment 99,"This is a simulated description for Assessment 99, designed to evaluate various competencies.",https://www.shl.com/assessment-99,Yes,No,15,Behavioral
Assessment 100,"This is a simulated description for Assessment 100, designed to evaluate various competencies.",https://www.shl.com/assessment-100,Yes,No,40,Technical
